,roc_auc,f1,precision,recall,accuracy,threshold,confusion_matrix
r_detect_retrain,0.8179738562091503,0.8063167673014399,0.766107678729038,0.8509803921568627,0.7955882352941176,0.731,"[[755, 265], [152, 868]]"
embedding_knn,0.9884659746251441,0.978786383818451,0.9851042701092354,0.9725490196078431,0.9789215686274509,0.3813205912709236,"[[1005, 15], [28, 992]]"
ranking,0.9719098423683199,0.9220404234841193,0.9054820415879017,0.9392156862745098,0.9205882352941176,0.5096567273139954,"[[920, 100], [62, 958]]"
weighted_ensemble_test,0.9911572472126106,0.9797930014785609,0.9851337958374629,0.9745098039215686,0.9799019607843137,0.5266643228109302,"[[1005, 15], [26, 994]]"
meta_learner_test,0.9896962706651289,0.9802955665024631,0.9851485148514851,0.9754901960784313,0.9803921568627451,0.7119928139077933,"[[1005, 15], [25, 995]]"
