,roc_auc,f1,precision,recall,accuracy,threshold
r_detect_competition+r_detect_mix_v16,0.4527417339484813,0.6668850311169342,0.5007378258730939,0.9980392156862745,0.5014705882352941,1.850724220275879e-05
r_detect_competition+r_detect_mix_v26,0.5006632064590543,0.6682088565763384,0.503988035892323,0.9911764705882353,0.5078431372549019,6.836652755737305e-05
r_detect_competition+r_detect_transfer,0.5215109573241061,0.6671043992120814,0.5014807502467917,0.996078431372549,0.5029411764705882,4.231929779052734e-06
r_detect_mix_v16+r_detect_mix_v26,0.49284650134563623,0.6691005642217059,0.5057701956848971,0.9882352941176471,0.5112745098039215,8.177757263183594e-05
r_detect_mix_v16+r_detect_transfer,0.4968954248366013,0.6688741721854304,0.505,0.9901960784313726,0.5098039215686274,2.664327621459961e-05
r_detect_mix_v26+r_detect_transfer,0.5565359477124183,0.6691884456671252,0.5153601694915254,0.953921568627451,0.5284313725490196,0.00014102458953857422
