,roc_auc,f1,precision,recall,accuracy,threshold
embedding_knn,0.9884659746251441,0.978786383818451,0.9851042701092354,0.9725490196078431,0.9789215686274509,0.3813205912709236
weighted_ensemble_val,0.986005382545175,0.9776674937965261,0.9899497487437185,0.9656862745098039,0.9779411764705882,0.35569645166397096
weighted_ensemble_test,0.9884659746251441,0.978786383818451,0.9851042701092354,0.9725490196078431,0.9789215686274509,0.3813205912709236
meta_learner_val,0.986005382545175,0.9776674937965261,0.9899497487437185,0.9656862745098039,0.9779411764705882,0.35569645166397096
meta_learner_test,0.9884659746251441,0.978786383818451,0.9851042701092354,0.9725490196078431,0.9789215686274509,0.3813205912709236
