,roc_auc,f1,precision,recall,accuracy,threshold
r_detect_t_lite_v2,0.5,0.662125340599455,0.49490835030549896,1.0,0.49490835030549896,0.5
r_detect_qwen3,0.9495221027479093,0.9434782608695652,1.0,0.8930041152263375,0.9470468431771895,1.0
embedding_knn,0.7528209212797027,0.7225325884543762,0.6598639455782312,0.7983539094650206,0.6965376782077393,0.3354138799011707
weighted_ensemble_val,0.9800876144962166,0.9434782608695652,1.0,0.8930041152263375,0.9470468431771895,0.6822940886158855
meta_learner_val,0.9800876144962166,0.9434782608695652,1.0,0.8930041152263375,0.9470468431771895,0.9336923214905051
