,roc_auc,f1,precision,recall,accuracy,threshold,confusion_matrix
r_detect_final_dataset,0.5472667899568485,0.672514619883041,0.5215419501133787,0.9465020576131687,0.5428571428571428,0.9970703125,"[[36, 211], [13, 230]]"
embedding_knn,0.9557821429166458,0.9188034188034188,0.9555555555555556,0.8847736625514403,0.9224489795918367,0.3280990470200777,"[[237, 10], [28, 215]]"
ranking,0.9404708352076773,0.8795180722891566,0.8588235294117647,0.9012345679012346,0.8775510204081632,0.5025354325771332,"[[211, 36], [24, 219]]"
weighted_ensemble_valid,0.9573482614418286,0.9188034188034188,0.9555555555555556,0.8847736625514403,0.9224489795918367,0.6139704512350164,"[[237, 10], [28, 215]]"
meta_learner_valid,0.9563985938254944,0.9188034188034188,0.9555555555555556,0.8847736625514403,0.9224489795918367,0.742967607431607,"[[237, 10], [28, 215]]"
